text,label
"This charger does not charge the battery of my Samsung Galaxy S2 (i9100) properly.When I connect it to my S2, the screen gets frozen and the cell behaves in a unusual (abnormal) way.",Negative
"Was here right on time.Wall adapter what I expected and works well but dose Not Have Quick-Charge As This ad states and that was the,Whole reason I chose this chager so that is horribly disappointing and inconvenient ..... The micro usb is useless it looks and acts cheaply made, and dose not fit well in to ports an either end will periodically stop working and my phone will freeze and turn off periodically as well....I know its the usd because I tried it in several devices and adapters and it had the same problems....I Will never order from Amazon Again Only two orders out of 13 have come without Defect or Wrong Probuct!Ugh!",Negative
thank you. it did not disappoint. was as expected and does the job though I am going to a new phone as the galaxy 2 has been acting up consistently. shutting down by surprise etc...,Negative
"In a nutshell, this is NOT an OEM charger.  Although it has the Samsung markings, it does not seat well with a Samsung phone.  This means that it is either meant for another market or it is counterfeit.  With that said, I would not buy this again.~~~~~~~~~~August 17, 2013 - UpdateThe seller tried to make amends by sending me three replacement chargers.  After using this for a while, it is still garbage.  It does not charge my phone and in fact, it drains the phone.  This must be a counterfeit product.  It has Samsung markings but it does not charge the phone.  DO NOT BUY THIS PRODUCT!!!!",Negative
This case helps me run my day smoothly without having to worry about my phone dying. Plus the color is veryery beautiful.,Negative
Bought one for me and another for the wife. Acts as phone protector and charging case in one. Hold charge all day so no complaints.,Negative
"this is really cute phone case, i like it alot, and it came in when it stated it would too",Negative
This one came in broken  The bottom pice snaps on to the sides and the main backing is a inlay piece. Came in scuffed with paint and the pieces will not click in together. If it was not broken I would like it. Also if it was not in three click in pieces,Negative
"Wow!  What a cute battery case! I saw a Christian sister with one of these on her phone!  That gave ne an idea-I decided to order me and my sister a battery case-mine is white, (since my phone is white), and my sister is is black,(since her phone is blue).Anyway, these little guys give you power for your phone! If we run out juice, especially when on the go, we can just connect this case to our phone, and it is POWER ON THE GO!! (I am just concerned about the functionality).",Negative
Bought case for me and wife to qualify for free shipping. Came in different colors to match phone.  Can go entire 24 hours without charging; but I am not a kid playing games all day long. No complaints or problems. (Personally I wrote another review in the wrong spot since we had diff phones and diff colors I f&%$ up),Negative
"Since I am always on my phone, the battery life is veryery short. After purchasing this battery case I am no longer worried about running out of battery life.",Negative
"Watch-out, all these positive reviews are fake. Some have even reviewed it twice using the same name. What a sleazy way to sell an item.",Negative
The color pops out so well. Clips well to my phone and charges me up. I cant complain! No cons!,Negative
"I got this case for my nephew, and he claims that it was not what he expected. He has a charge case for his last phone, and it covered the whole thing. This is just like a back of the phone replacement, so it does not add to much weight",Negative
I was looking for a case for my new Galaxy S2 (At&t veryersion). The store was selling similar cases for $20 and $35. I just can not justify spending that much on a case. This case is made for the unlocked veryersion of the Galaxy S2. The size is the same. The only difference that I can see is the noise cancelling microphone is blocked. I drilled a little hole in the case and it works just fine,Negative
"I bought this for the at&t samsung galaxy s2 and the seller was veryery slow in getting this item to me. I also notice that this product do fit the SGS2, but the cut outs was NOT good. The cut out opening was too small for the power button, there was also an extra cut out for no reason. It does fit nice so I gave it 2 stars, but bad opening for my phone will be costly.",Negative
I prefer this style case to the otterbox and case mate as I feel it provides ample protection without turning the phone into a brick. Lightweight and sleek.,Negative
I like the case so far fits ok my Samsung Galaxy S2 I like that is veryery shiny and soft to the touch. My only concern is one of the corners is not totally covered so it wont protect it from scratches or a hit there that is why I am just giving it 4 stars. Well for the price i think it is ok.,Negative
I read the first few reviews and did not read any further and now I wish I had cause this thing does not work for the Sprint Galaxy s2. Wish I had known that.,Negative
"Great Grip, Great Style, Gerat Durability, Great PRICE! Lasts long. SLIM FIT! Should be included in every HTC sensation purchase and if it was it may have beaten the iPhone 5! Too bad HTC",Negative
"A note of caution from someone who owned and used just about every major Blackberry model: if you already own a standard USB 2.0 cable and you do not need an extra, then you do NOT need this cable. All a Blackberry needs for data transfer is a STANDARD USB 2.0 cable with a Micro-USB connector at one end.There is NOTHING special about this cable and nothing justifies the artificially inflated MSRP listed for it. While this item is sold at a 90% off the MSRP discount, it is probably okay to purchase one, for as long as, after reading the first paragraph you decide that you will need a USB 2.0 cable.The items has 2 stars taken away for the exaggerated marketing claim (professional grade custom cable) and for the inflated MSRP.NOTE: Please make sure that you buy cable with a MICRO-USB connector because this is what your Blackberry needs.",Negative
"I would like a extra cable for my smartphones at work, so I purchased this one. Nothing special as long as it is working, and it is.No complain.",Negative
"I bought this recently and did not expect much, as it was only $2.99 shipped to my door.  For that much money, how can you go wrong?  So, I have not used it to transfer data yet, as it it plugged into my PC at work just for charging.  When plugged in, my Palm Pixi prompts me, just as the factory cable does, to transfer or charge.  I have used this cable about 10x to charge now, and it works great!  Do not hesitate to purchase this if you need another cable, or two!",Negative
"This charger does the trick.  The charger in my car does not work when the ignition is off, and who wants a dangling cord hanging down in their field of veryision while driving.Have charged the T505 up once since I got it, and the battery life is reported to be around 18 hours of usage or 30 days of standby.  I may charge it every couple of weeks.  Very convenient accessory.",Negative
"""This cable not recommended for this device."" That is what I get for an error message. Plus it is really short.",Negative
"I only trust HTC accessories for HTC phones having bad luck with aftermarket products that are cheaper, but cheap is expensive.",Negative
poor manufacturing quality the connector is too long and does not properly fit in my phone. I would not buy this.,Negative
It is what it is. A charging and sync cord. It charges the phone and helps transfer data from the phone to the computer.,Negative
"I got this to charge my Samsung Galaxy S2 but it ALWAYS came unplugged from the phone, whenever the phone would be moved it falls out and even just resting on a flat surface it would eventually find its way out of the phone. I had to buy another USB cord because I became veryery frustrated with this",Negative
Purchased this USB cable to connect my Samsung smartphone to my laptop computer.  Works well and fits my needs and expectations.,Negative
These were really inexpensive and they work just like I wanted them to.There have been no problems so far,Negative
do you need to charge your phone? so you need to transfer data? then boy oh boy this cable does that.,Negative
damaged charger. when i recieved it the charger had a short in it. i had to wiggle the cord for my phone to charge.,Negative
"I was pretty upset to find that one day it stopped charging my phone, right in the middle of a long trip. FFFFFFUUUUUUU...",Negative
"Looking at the price, I ordered 2 of these.It served the purpose initially. But in few months one of them stopped working.that is 50% hit rate. Though, I do not what is the life for the other charger.",Negative
"Initially it is a great charger at a great price. However, I have been through 2 now and they tend to not last veryery long. For the price though I guess it is still not a bad deal.",Negative
I have used this for almost 2 years now and it JUST NOW broke. But I can still used it. The button that retracts it just got loose so it does not latch anymore.,Negative
"Not much to say, here.  This little charger works well and it was a lot less expensive than Sprint store.",Negative
Have this in my office at work for a little extra boost when needed. Nothing fancy just a charger that does what its ment to do.,Negative
it was the wrong one.The male end does not fit the Iphone 4s .  Once it was pulled out it would not retract,Negative
"I have not used this as of yet , however, my wife has without issue.I have the x50 headset and she has the veryoyage, it works on both really well.",Negative
THIS IS A BAD CHARGER IT DOES NOT WORK PROPERLY AND IT HAS A REALLY BAD SHORTAGE. I HATE IT!,Negative
"So there is no way for me to plug it in here in the US unless I go by a converter.	",Negative
"Tied to charger for conversations lasting more than 45 minutes.MAJOR PROBLEMS!!	",Negative
"I have to jiggle the plug to get it to line up right to get decent volume.	",Negative
"If you have several dozen or several hundred contacts then imagine the fun of sending each of them one by one.	",Negative
"Needless to say I wasted my money.	",Negative
"What a waste of money and time!.	",Negative
"If the two were seperated by a mere 5+ ft I started to notice excessive static and garbled sound from the headset.	",Negative
"The design is very odd as the ear ""clip"" is not very comfortable at all.	",Negative
"I advise EVERYONE DO NOT BE FOOLED!	",Negative
"It clicks into place in a way that makes you wonder how long that mechanism would last.	",Negative
"I went on Motorola's website and followed all directions but could not get it to pair again.	",Negative
"The commercials are the most misleading.	",Negative
"I bought it for my mother and she had a problem with the battery.	",Negative
"I didn't think that the instructions provided were helpful to me.	",Negative
"People couldnt hear me talk and I had to pull out the earphone and talk on the phone.	",Negative
"Doesn't hold charge.	",Negative
"This is a simple little phone to use but the breakage is unacceptible.	",Negative
"It is unusable in a moving car at freeway speed.	",Negative
"I have two more years left in this contract and I hate this phone.	",Negative
"You need at least 3 mins to get to your phone book from the time you first turn on the phone.Battery life is short.	",Negative
"Poor Talk Time Performance.	",Negative
"worthless product.	",Negative
"I was not impressed by this product.	",Negative
"I only hear garbage for audio.	",Negative
"Who in their right mind is gonna buy this battery?.	",Negative
"AFTER ARGUING WITH VERIZON REGARDING THE DROPPED CALLS WE RETURNED THE PHONES AFTER TWO DAYS.	",Negative
"Disappointed with battery.	",Negative
"Not loud enough and doesn't turn on like it should.	",Negative
"VERY DISAPPOINTED.	",Negative
"The buttons for on and off are bad.	",Negative
"Essentially you can forget Microsoft's tech support.	",Negative
"Buy a different phone - but not this.	",Negative
"You have to hold the phone at a particular angle for the other party to hear you clearly.	",Negative
"The one big drawback of the MP3 player is that the buttons on the phone's front cover that let you pause and skip songs lock out after a few seconds.	",Negative
"A week later after I activated it it suddenly died.	",Negative
"Mic Doesn't work.	",Negative
"Even in my BMW 3 series which is fairly quiet I have trouble hearing what the other person is saying.	",Negative
"I purchased this and within 2 days it was no longer working!!!!!!!!!	",Negative
"Not a good bargain.	",Negative
"The battery runs down quickly.	",Negative
"This item worked great but it broke after 6 months of use.	",Negative
"The construction of the headsets is poor.	",Negative
"For a product that costs as much as this one does I expect it to work far better and with greater ease than this thing does.	",Negative
"The ear buds only play music in one ear.	",Negative
"Dont waste your money...	",Negative
"If you plan to use this in a car forget about it.	",Negative
"I found this product to be waaay too big.	",Negative
"I'm very disappointed with my decision.	",Negative
"Buyer Beware you could flush money right down the toilet.	",Negative
"I received my supposedly new motorola 375 and apparently there was not a match between the phone and the charger.	",Negative
"That's a huge design flaw (unless I'm not using it correctly which I don't think is the case).	",Negative
"I purcashed this for the car charger and it does not work.	",Negative
"i got this phone around the end of may and i'm completely unhappy with it.	",Negative
"Could not get strong enough signal.	",Negative
"Bad Quality.	",Negative
"Basically the service was very bad.	",Negative
"it did not work in my cell phone plug i am very up set with the charger!.	",Negative
"The BT headset was such a disapoinment.	",Negative
"Buyer--Be Very Careful!!!!!.	",Negative
"The majority of the Logitech earbud headsets failed.	",Negative
"In my house I was getting dropped coverage upstairs and no coverage in my basement.	",Negative
"What a waste.	",Negative
"During several different 2 minute calls I experienced 5 drops and it was in an area that had 5 bars.	",Negative
"I was not happy with this item.	",Negative
"very disappointed.	",Negative
"The phone takes FOREVER to charge like 2 to 5 hours literally.	",Negative
"What a waste of time!	",Negative
"Its reception is very very poor.	",Negative
"Items stated as included from the description ARE NOT INCLUDED.	",Negative
"After 3 months screen just went black all of a sudden.	",Negative
"I Was Hoping for More.	",Negative
"Audio Quality is poor very poor.	",Negative
"I've bought $5 wired headphones that sound better than these.	",Negative
"All I can do is whine on the Internet so here it goes.The more I use the thing the less I like it.	",Negative
"This is essentially a communications tool that does not communicate.	",Negative
"I still maintain that monkeys shouldn't make headphones we just obviously don't share enough DNA to copy the design over to humans.	",Negative
"Doesn't work at all.. I bougth it for my L7c and its not working.	",Negative
"doesn't last long.	",Negative
"One thing I hate is the mode set button at the side.	",Negative
"Thank you for wasting my money.	",Negative
"How can that be?The audio quality is poor.	",Negative
"It only recognizes the Phone as its storage device.	",Negative
"If you like a loud buzzing to override all your conversations then this phone is for you!	",Negative
"Don't buy this product.	",Negative
"I've had this bluetoooth headset for some time now and still not comfortable with the way it fits on the ear.	",Negative
"I have this phone and it is a thorn in my side I really abhor it.	",Negative
"Design Flaw?.	",Negative
"But when I check voice mail at night the keypad backlight turns off a few seconds into the first message and then I'm lost.	",Negative
"The replacement died in a few weeks.	",Negative
"I have had problems wit hit dropping signal and more.	",Negative
"Not impressed.	",Negative
"Bad Choice.	",Negative
"The pleather case doesn't fit.	",Negative
"useless phone simply deaf.	",Negative
"It makes very strange ticking noises before it ends the call.	",Negative
"Battery lasts only a few hours.	",Negative
great headset very impressed - H5,Negative
"We are sending it back.	",Negative
"I did not bother contacting the company for few dollar product but I learned the lesson that I should not have bought this form online anyway.	",Negative
"If you hate earbugs avoid this phone by all means.	",Negative
"I also didn't like the ""on"" button it felt like it would crack with use.	",Negative
"WORST PHONE EVER.	",Negative
"Freezes frequently4.	",Negative
"It's kind of embarrassing to use because of how it looks and mostly it's embarrassing how child-like the company is.	",Negative
"All in all I'd expected a better consumer experience from Motorola.	",Negative
"There's a horrible tick sound in the background on all my calls that I have never experienced before.	",Negative
"I'm a bit disappointed.	",Negative
"I have had this phone for over a year now and I will tell you its not that great.	",Negative
"The battery is completely useless to me.	",Negative
"What a big waste of time.	",Negative
"Don't waste your $$$ on this one.	",Negative
"Do not make the same mistake as me.	",Negative
"Big Disappointment with calendar sync.	",Negative
"the phone was unusable and was not new.	",Negative
"Worst Customer Service Ever.	",Negative
"No additional ear gels provided and no instructions whatsoever.	",Negative
"It defeats the purpose of a bluetooth headset.	",Negative
"Internet is excrutiatingly slow.	",Negative
"This product had a strong rubber/petroleum smell that was unbearable after a while and caused me to return it	",Negative
"poor quality and service.	",Negative
"The cable looks so thin and flimsy it is scary.	",Negative
"Absolutel junk.	",Negative
"THAT one didn't work either.	",Negative
"Returned 8 hours later.	",Negative
"Don't waste your money!.	",Negative
"Not only will it drain your player but may also potentially fry it.	",Negative
"Unreliable - I'm giving up.	",Negative
"Avoid this one if you can.	",Negative
"I wasted my little money with this earpiece.	",Negative
"First of all it doesn't wear well.	",Negative
"I wouldn't recommend buying this product.	",Negative
"Piece of Junk.	",Negative
"Poorly contstruct hinge.	",Negative
"Don't buy it.	",Negative
"DO NOT PURCHASE THIS PHONE.	",Negative
"Customer service was terrible.	",Negative
"Battery life still not long enough in Motorola Razor V3i.	",Negative
"Sending it back.	",Negative
"As many people complained I found this headset's microphone was very weak.	",Negative
"They do not care about the consumer one bit.	",Negative
"The instruction manual is lacking.	",Negative
"The battery is unreliable as well as the service use antena.	",Negative
"It's uncomfortable and the sound quality is quite poor compared with the phone (Razr) or with my previous wired headset (that plugged into an LG).	",Negative
"I want my money back.	",Negative
"I ordered this product first and was unhappy with it immediately.	",Negative
"The Ngage is still lacking in earbuds.	",Negative
"I have 2-3 bars on my cell phone when I am home but you cant not hear anything.	",Negative
"However-the riingtones are not the best and neither are the games.	",Negative
"The plug did not work very well.	",Negative
"AMAZON SUCKS.	",Negative
"Rip off---- Over charge shipping.	",Negative
"Obviously there is a problem with the adhesive.	",Negative
"Very disappointing.	",Negative
"It was an inexpensive piece but I would still have expected better quality.	",Negative
"It is practically useless and did not add any kind of boost to my reception after I bought it.	",Negative
"Was not happy.	",Negative
"A PIECE OF JUNK THAT BROKE AFTER BEING ON MY PHONE FOR 2 DAYS!!!	",Negative
"Worst customer service.	",Negative
"Reception is terrible and full of static.	",Negative
"I was sitting in my vehicle with the cradle on my belt and the headset lost signal.	",Negative
"Were JERKS on the phone.	",Negative
"Their network coverage in Los Angeles is horrible.	",Negative
"Excellent starter wireless headset.	",Negative
"The loudspeaker option is great the bumpers with the lights is very ... appealing.	",Negative
"The only thing that I think could improve is the sound leaks out from the headset.	",Negative
"First off the reception sucks I have never had more than 2 bars ever.	",Negative
"The phone gets EXTREMELY HOT!	",Negative
"Also if your phone is dropped this case is not going to save it specially when dropped face down.	",Negative
"bad fit way too big.	",Negative
"Waste of money.	",Negative
"I'll be drivng along and my headset starts ringing for no reason.	",Negative
"The worst phone I've ever had.... Only had it for a few months.	",Negative
"Not a good item.. It worked for a while then started having problems in my auto reverse tape player.	",Negative
"This is so embarassing and also my ears hurt if I try to push the ear plug into my ear.	",Negative
"This is a VERY average phone with bad battery life that operates on a weak network.	",Negative
"Soyo technology sucks.	",Negative
"Same problem as others have mentioned.	",Negative
"The worst piece of crap ever along with the Verizon customer service.	",Negative
"Poor sound quality.	",Negative
"The picture resolution is far below what other comparably-priced phones are offering today.	",Negative
"Using all earpieces left or right this thing will not stay on my ear.	",Negative
"Still Waiting...... I'm sure this item would work well.. if I ever recieve it!	",Negative
"what a disappointment	",Negative
"don't waste your money and time.	",Negative
"It's so stupid to have to keep buying new chargers car chargers cradles headphones and car kits every time a new phone comes out.	",Negative
"I came over from Verizon because cingulair has nicer cell phones.... the first thing I noticed was the really bad service.	",Negative
"I'll be looking for a new earpiece.	",Negative
"We received a WHITE colored battery that goes DEAD after a couple hoursTHe original used to last a week - but still lasts longer than thereplacement	",Negative
"After a year the battery went completely dead on my headset.	",Negative
An Awesome New Look For Fall 2,Negative
"This is the first phone I've had that has been so cheaply made.	",Negative
"Att is not clear sound is very distorted and you have to yell when you talk.	",Negative
"The plastic breaks really easy on this clip.	",Negative
"Don't make the same mistake I did.	",Negative
"Oh and I forgot to also mention the weird color effect it has on your phone.	",Negative
"Also the area where my unit broke).- I'm not too fond of the magnetic strap.	",Negative
"Another note about this phone's appearance is that it really looks rather bland especially in the all black model.	",Negative
"Low Quality.	",Negative
"Warning - Stay away.	",Negative
"I wish I could return the unit and get back my money.	",Negative
"If you don't find it too bad as again the unit comes with one earpad only.I would not recommend this to anyone.	",Negative
"Very Displeased.	",Negative
"I might have gotten a defect but I would not risk buying it again because of the built quality alone.	",Negative
"They made this case too small and is very difficult to install.	",Negative
"Does not fit.	",Negative
"There's really nothing bad I can say about this headset.	",Negative
"I've also had problems with the phone reading the memory card in which I always turn it on and then off again.	",Negative
"Not good when wearing a hat or sunglasses.	",Negative
"Horrible phone.	",Negative
"Cant get the software to work with my computer.	",Negative
"Disappointed!.	",Negative
"poor voice clarity.	",Negative
"No buyers remorse on this one!.	",Negative
"Very disappointed in AccessoryOne.	",Negative
"I find this inexcusable and so will probably be returning this phone and perhaps changing carriers.	",Negative
"The update procedure is difficult and cumbersome.	",Negative
"Disappointment.. I hate anything that goes in my ear.	",Negative
Uncomfortable In the Ear Don't use with LG VX99,Negative
"The volume switch rocketed out of the unit to a destination unknown.	",Negative
"I'd like to return it.	",Negative
"Verizon's bills however are difficult to understand even though their pricing plans are simple.	",Negative
"A Disappointment.	",Negative
"Its not user friendly.	",Negative
"Unfortunately the ability to actually know you are receiving a call is a rather important feature and this phone is pitiful in that respect.	",Negative
"Then I exchanged for the same phone even that had the same problem.	",Negative
"This results in the phone being either stuck at max volume or mute.	",Negative
"Pretty piece of junk.	",Negative
"Plug was the wrong size.	",Negative
"Bad Purchase.	",Negative
"Defective crap.	",Negative
"I would have given no star if I was able.	",Negative
"The sound quality for the device is unacceptable.Unless you are in a really quiet area you almost hear nothing.	",Negative
"I would not recommend this item to anyone.	",Negative
"The holster that arrived did not match the photo in the ad.	",Negative
"As an earlier review noted plug in this charger and nothing happens.	",Negative
"You never know if you pushed it hard enough or the right number of times for the function you want or not.	",Negative
"I am not impressed with this and i would not recommend this item to anyone.	",Negative
"My only complaint is the standard sound volume is a little low even when turned up to 5(of 5)	",Negative
"REALLY UGLY.	",Negative
"horrible had to switch 3 times.	",Negative
"No real improvement.	",Negative
"They refuse to refund or replace.	",Negative
"Unfortunately it's easy to accidentally activate them with the gentle-touch buttons if you accidentally touch the phone to your face while listening.	",Negative
"So I basically threw my money out the window for nothing.	",Negative
"All it took was one drop from about 6 inches above the kitchen counter and it was cracked.I am not impressed and I am not laughing.	",Negative
"none of the new ones have ever quite worked properly.	",Negative
"I've missed numerous calls because of this reason.	",Negative
"Perhaps my phone is defective but people cannot hear me when I use this.	",Negative
"Don't buy this product.	",Negative
"sucked most of the stuff does not work with my phone.	",Negative
"Worst software ever used.... If I could give this zero stars I would.	",Negative
"Trying to make a call on these is an exercise in frustration.	",Negative
"The case is a flimsy piece of plastic and has no front or side protection whatsoever.	",Negative
"It's AGGRAVATING!	",Negative
"None of it works just don't buy it.	",Negative
"Muddy low quality sound and the casing around the wire's insert was poorly super glued and slid off.	",Negative
"Please dont waste your money.	",Negative
"If you are looking for a good quality Motorola Headset keep looking this isn't it.	",Negative
"Yet Plantronincs continues to use the same flawed charger design.	",Negative
"Disapointing Results.	",Negative
"Cumbersome design.	",Negative
"It's A PIECE OF CRAP!	",Negative
"My experience was terrible..... This was my fourth bluetooth headset and while it was much more comfortable than my last Jabra (which I HATED!!!	",Negative
"Worst ever.	",Negative
"I can barely ever hear on it and am constantly saying ""what?""	",Negative
"The battery life is highly unacceptable.	",Negative
"That company is a joke.	",Negative
"Due to this happening on every call I was forced to stop using this headset.	",Negative
"Verizon tech support walked my through a few procedures none of which worked and I ended up having to do a hard re-set wiping out all my data.	",Negative
"Voice Quality Signal Strength Dropped Calls.	",Negative
"It feels poorly constructed the menus are difficult to navigate and the buttons are so recessed that it is difficult to push them.	",Negative
"Also difficult to put on.I'd recommend avoiding this product.	",Negative
"I only used it two days and it wasn't always easy to hear with.	",Negative
"I got the car charger and not even after a week the charger was broken...I went to plug it in and it started smoking.	",Negative
"Sprint - terrible customer service.	",Negative
"What possesed me to get this junk I have no idea...	",Negative
"Piece of trash.	",Negative
"The real killer is the volume and of course it breaking.	",Negative
"Poor Construction.	",Negative
"This is infuriating.	",Negative
"Sprint charges for this service.	",Negative
"It is cheap and it feel and look just as cheap.	",Negative
"It doesn't work in Europe or Asia.	",Negative
"the charger worked for about a week and then completely stopped charging my phone.	",Negative
"Poor product.	",Negative
"However I needed some better instructions.	",Negative
"You need two hands to operate the screen.This software interface is decade old and cannot compete with new software designs.	",Negative
Worked very well paired with a Treo 7,Negative
"Steer clear of this product and go with the genuine Palm replacementr pens which come in a three-pack.	",Negative
"DO NOT BUY DO NOT BUYIT SUCKS	",Negative
"Plus I seriously do not believe it is worth its steep price point.	",Negative
"Very Dissapointing Performance.	",Negative
"Don't make the same mistake that I did and please don't buy this phone.	",Negative
"This phone might well be the worst I've ever had in any brand.	",Negative
"Case was more or less an extra that I originally put on but later discarded because it scratched my ear.	",Negative
"Don't bother - go to the store.	",Negative
"You get what you pay for I guess.	",Negative
"However BT headsets are currently not good for real time games like first-person shooters since the audio delay messes me up.	",Negative
"Disappointing accessory from a good manufacturer.	",Negative
"Performed awful -- muffled tinny incoming sound and severe echo for those on the other end of the call.	",Negative
"Obviously they have a terrible customer service so you get what you pay for.	",Negative
"I contacted the company and they told me that although the unit was still under warranty if I couldn't produce my receipt I was out of luck.	",Negative
"Linksys should have some way to exchange a bad phone for a refurb unit or something!	",Negative
"When I placed my treo into the case not only was it NOT snug but there was A LOT of extra room on the sides.	",Negative
"Battery is terrible.	",Negative
"The earpiece on this is too large or too heavy...it keeps falling out of my ear.	",Negative
"Utter crap.. Sound quality is TERRIBLE.	",Negative
"The charger arrived within the promised timeframe but it did not work.	",Negative
"Finally after three or four times the spring of the latch broke and I could not use it any longer on the visor.	",Negative
"Talk about USELESS customer service.	",Negative
"It felt too light and ""tinny."".	",Negative
"This does not fit the Palm Tungsten E2 and it broke the first time I tried to plug it in.	",Negative
"I could not recommend these more.	",Negative
"Looks good in the picture but this case was a huge disappointment!!	",Negative
"its extremely slow and takes forever to do anything with it.	",Negative
"A must study for anyone interested in the ""worst sins"" of industrial design.	",Negative
"The first thing that happened was that the tracking was off.	",Negative
"Then I had to continue pairing it periodically since it somehow kept dropping.	",Negative
"Can't upload ringtones from a third party.	",Negative
"Bluetooth does not work phone locks up screens just flash up and now it just makes calls randomly while in my pocket locked.	",Negative
"Truly awful.	",Negative
"And none of the tones is acceptable.	",Negative
"camera color balance is AWFUL.	",Negative
"This product is clearly not ready for prime time I don't care how cool it looks if you can't tell a call is coming in it's worthless.	",Negative
"Chinese Forgeries Abound!.	",Negative
"The instructions didn't explain that a microphone jack could be used.	",Negative
"i would advise to not purchase this item it never worked very well.	",Negative
"Too bad you have to pay up to $$$ a month for the service!	",Negative
"The nokia CA-42 USB cable did not work with my phone.	",Negative
"The biggest complaint I have is the battery drains superfast.	",Negative
"The design might be ergonomic in theory but I could not stand having these in my ear.	",Negative
"Do NOT buy if you want to use the holster.	",Negative
"It doesn't make you look cool.	",Negative
"Also the phone doesn't seem to accept anything except CBR mp3s preferably ripped by Windows Media Player.	",Negative
"So just beware.	",Negative
"So anyone near you will hear part of your conversation.	",Negative
